method,lr,n,best_mean,best_std,final_mean,final_std,score_mean,score_std
baseline_avg,2.0000000000000003e-06,2,0.6221132483796545,0.0016035240447547228,0.618818626393369,0.004898146031040218,0.6204659373865118,0.0032508350378974704
baseline_avg,2.477980741884182e-06,2,0.6218950099927871,0.0011878601576716386,0.6207985625217871,0.0022843076286717667,0.6213467862572871,0.0017360838931717026
baseline_avg,3.0701942785744396e-06,2,0.6253330090142648,0.008366607935867632,0.6253330090142648,0.008366607935867632,0.6253330090142648,0.008366607935867632
baseline_avg,3.8039411480752295e-06,2,0.6307241631257048,0.018254578501378516,0.6307241631257048,0.018254578501378516,0.6307241631257048,0.018254578501378516
baseline_avg,4.713046454095611e-06,2,0.6318940071283685,0.007199693573227195,0.6318940071283685,0.007199693573227195,0.6318940071283685,0.007199693573227195
baseline_avg,5.839419174427227e-06,2,0.6463180219147481,0.007038300383027218,0.6463180219147481,0.007038300383027218,0.6463180219147481,0.007038300383027218
baseline_avg,7.234984129009947e-06,2,0.6460688978827707,0.0019540006134824983,0.6460688978827707,0.0019540006134824983,0.6460688978827707,0.0019540006134824983
baseline_avg,8.964075669762173e-06,2,0.6579786961667617,1.0420582515213717e-06,0.6579786961667617,1.0420582515213717e-06,0.6579786961667617,1.0420582515213717e-06
baseline_avg,1.1106403439231605e-05,2,0.6337879670884015,0.00772889090864376,0.6337879670884015,0.00772889090864376,0.6337879670884015,0.00772889090864376
baseline_avg,1.376072691700608e-05,2,0.6497314569226522,0.0009870186293207683,0.6445582513446991,0.006160224207273912,0.6471448541336757,0.0035736214182973125
baseline_avg,1.704940814733421e-05,2,0.6552790145043876,0.00782642869212069,0.6552790145043876,0.00782642869212069,0.6552790145043876,0.00782642869212069
baseline_avg,2.1124052524808717e-05,2,0.6708952146264462,0.008738516687738562,0.6708952146264462,0.008738516687738562,0.6708952146264462,0.008738516687738562
baseline_avg,2.617249767351296e-05,2,0.6610494014677565,0.02024170582147522,0.6610494014677565,0.02024170582147522,0.6610494014677565,0.02024170582147522
baseline_avg,3.242747260098683e-05,2,0.6543255453434412,0.0034286784678900784,0.6524701245716872,0.005284099239644124,0.6533978349575642,0.004356388853767101
baseline_avg,4.017732630661116e-05,2,0.6708982771748488,0.006101382557077151,0.6708982771748488,0.006101382557077151,0.6708982771748488,0.006101382557077151
baseline_avg,4.977932042408958e-05,2,0.6817883769212868,0.00397615777507343,0.6649146896177607,0.010397686925907867,0.6733515332695238,0.0071869223504906765
baseline_avg,6.167609867748794e-05,2,0.657005480214037,0.00422528180705084,0.6547044883419896,0.001924289935003376,0.6558549842780133,0.003074785871027108
baseline_avg,7.641609237868178e-05,2,0.669503184575262,0.01332144221857412,0.6630880703746137,0.018945036118615644,0.6662956274749379,0.01613323916859488
baseline_avg,9.4678802642208e-05,2,0.6561520316782089,0.005425878546445162,0.6561520316782089,0.005425878546445162,0.6561520316782089,0.005425878546445162
baseline_avg,0.00011730612480602229,2,0.6235915444526046,0.007583916145060654,0.6235915444526046,0.007583916145060654,0.6235915444526046,0.007583916145060654
baseline_avg,0.00014534115908719275,2,0.6372314026281654,0.025873508934825207,0.6211556505754321,0.009797756882092001,0.6291935266017987,0.017835632908458576
baseline_avg,0.0001800762966105944,2,0.6218755290177678,0.0017829333899624933,0.5849447611849076,0.03138245804625406,0.6034101451013376,0.016582695718108276
baseline_avg,0.00022311279753543852,2,0.6187774474184476,0.0002025325753913787,0.617451067037109,0.00112384780594732,0.6181142572277782,0.00046065761527797067
baseline_avg,0.00027643460778036053,2,0.6207164011066755,0.0047087727991316775,0.5200438575594994,0.09596377074804438,0.5703801293330875,0.04562749897445634
baseline_avg,0.0003424998172350203,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
baseline_avg,0.00042435397560361605,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
baseline_avg,0.0005257704896438752,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
baseline_avg,0.0006514245739942696,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
baseline_avg,0.0008071087745739543,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
baseline_avg,0.001,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
baseline_cagrad,2.0000000000000003e-06,2,0.6106161843427232,0.0027318992191163183,0.6106161843427232,0.0027318992191163183,0.6106161843427232,0.0027318992191163183
baseline_cagrad,2.477980741884182e-06,2,0.6259232890613825,0.0014202759096515472,0.6259232890613825,0.0014202759096515472,0.6259232890613825,0.0014202759096515472
baseline_cagrad,3.0701942785744396e-06,2,0.6325393140724094,0.003614212909903325,0.6325393140724094,0.003614212909903325,0.6325393140724094,0.003614212909903325
baseline_cagrad,3.8039411480752295e-06,2,0.6282434720550687,0.012758719451404832,0.6282434720550687,0.012758719451404832,0.6282434720550687,0.012758719451404832
baseline_cagrad,4.713046454095611e-06,2,0.6276375498228269,0.005360268466329865,0.6276375498228269,0.005360268466329865,0.6276375498228269,0.005360268466329865
baseline_cagrad,5.839419174427227e-06,2,0.6309494357592494,0.012859939079775895,0.6309494357592494,0.012859939079775895,0.6309494357592494,0.012859939079775895
baseline_cagrad,7.234984129009947e-06,2,0.641597131830385,0.00941839112178361,0.641597131830385,0.00941839112178361,0.641597131830385,0.00941839112178361
baseline_cagrad,8.964075669762173e-06,2,0.6345468074807759,0.002218078252064992,0.6341491597487007,0.001820430519989813,0.6343479836147383,0.0020192543860274026
baseline_cagrad,1.1106403439231605e-05,2,0.6465939906115331,0.005516804845004719,0.6465939906115331,0.005516804845004719,0.6465939906115331,0.005516804845004719
baseline_cagrad,1.376072691700608e-05,2,0.6548671653705782,0.007711626958506745,0.6490880375603831,0.0019324991483117282,0.6519776014654806,0.004822063053409209
baseline_cagrad,1.704940814733421e-05,2,0.6527841460686392,0.004508973329032273,0.6527841460686392,0.004508973329032273,0.6527841460686392,0.004508973329032273
baseline_cagrad,2.1124052524808717e-05,2,0.6614731176231465,0.0217853221211598,0.6614731176231465,0.0217853221211598,0.6614731176231465,0.0217853221211598
baseline_cagrad,2.617249767351296e-05,2,0.678572696856709,0.007219660936358729,0.678572696856709,0.007219660936358729,0.678572696856709,0.007219660936358729
baseline_cagrad,3.242747260098683e-05,2,0.6665445479025893,0.012755789811381646,0.6605126142155229,0.006723856124315197,0.6635285810590561,0.009739822967848422
baseline_cagrad,4.017732630661116e-05,2,0.679978795401248,0.00837321942078506,0.679978795401248,0.00837321942078506,0.679978795401248,0.00837321942078506
baseline_cagrad,4.977932042408958e-05,2,0.6714204402635879,0.015132685093355858,0.6640366134420073,0.0077488582717752386,0.6677285268527977,0.011440771682565576
baseline_cagrad,6.167609867748794e-05,2,0.6674314129984124,0.01775251568415026,0.6674314129984124,0.01775251568415026,0.6674314129984124,0.01775251568415026
baseline_cagrad,7.641609237868178e-05,2,0.6541471780564849,0.0100266873239091,0.652667284255144,0.008546793522568152,0.6534072311558144,0.009286740423238626
baseline_cagrad,9.4678802642208e-05,2,0.6647407860728668,0.0023987261902556067,0.6541543452115418,0.012985167051580593,0.6594475656422043,0.0076919466209181
baseline_cagrad,0.00011730612480602229,2,0.6542139631032313,0.015270782555262874,0.6471885322103061,0.008245351662337752,0.6507012476567687,0.01175806710880034
baseline_cagrad,0.00014534115908719275,2,0.6404426882327083,0.002251534401790045,0.6344643802489054,0.00822984238559299,0.6374535342408069,0.005240688393691517
baseline_cagrad,0.0001800762966105944,2,0.64147101874533,0.021453417377579442,0.6371049996897297,0.01708739832197914,0.6392880092175298,0.019270407849779292
baseline_cagrad,0.00022311279753543852,2,0.6139499011874272,0.0020577271201165925,0.6139499011874272,0.0020577271201165925,0.6139499011874272,0.0020577271201165925
baseline_cagrad,0.00027643460778036053,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
baseline_cagrad,0.0003424998172350203,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
baseline_cagrad,0.00042435397560361605,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
baseline_cagrad,0.0005257704896438752,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
baseline_cagrad,0.0006514245739942696,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
baseline_cagrad,0.0008071087745739543,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
baseline_cagrad,0.001,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
ours,2.0000000000000003e-06,2,0.6188937535618032,0.0019077386000071472,0.6182365555595598,0.0012505405977637496,0.6185651545606815,0.0015791395988854484
ours,2.477980741884182e-06,2,0.6175819973439589,0.00037099960199882265,0.6168697088184405,0.0005424895872788715,0.6172258530811997,0.0004567445946388471
ours,3.0701942785744396e-06,2,0.6227248729469417,0.009198977768285321,0.6227248729469417,0.009198977768285321,0.6227248729469417,0.009198977768285321
ours,3.8039411480752295e-06,2,0.6477506116443621,0.00167601142654622,0.6477506116443621,0.00167601142654622,0.6477506116443621,0.00167601142654622
ours,4.713046454095611e-06,2,0.6413970665435267,0.017164123218804284,0.6413970665435267,0.017164123218804284,0.6413970665435267,0.017164123218804284
ours,5.839419174427227e-06,2,0.6375162691167777,0.0007768565473823541,0.6375162691167777,0.0007768565473823541,0.6375162691167777,0.0007768565473823541
ours,7.234984129009947e-06,2,0.6257826847212125,0.005890444233646097,0.6257826847212125,0.005890444233646097,0.6257826847212125,0.005890444233646097
ours,8.964075669762173e-06,2,0.6359099723770012,0.022664706171923565,0.6355832142983264,0.02299146425059828,0.6357465933376638,0.02282808521126095
ours,1.1106403439231605e-05,2,0.655916598623232,0.008164035770746314,0.655916598623232,0.008164035770746314,0.655916598623232,0.008164035770746314
ours,1.376072691700608e-05,2,0.6660808277389085,0.0023958898688817287,0.6660808277389085,0.0023958898688817287,0.6660808277389085,0.0023958898688817287
ours,1.704940814733421e-05,2,0.6568723088456826,0.007958268148842818,0.6536541459394635,0.011176431055061942,0.655263227392573,0.00956734960195238
ours,2.1124052524808717e-05,2,0.6734309721837355,0.02039358192335644,0.6675326085901616,0.026291945516930315,0.6704817903869484,0.023342763720143378
ours,2.617249767351296e-05,2,0.6705896681595614,0.000826377643991627,0.6670882364931209,0.0026750540224489416,0.6688389523263412,0.0009243381892286573
ours,3.242747260098683e-05,2,0.6833166168526061,0.0032596317345213177,0.6833166168526061,0.0032596317345213177,0.6833166168526061,0.0032596317345213177
ours,4.017732630661116e-05,2,0.685596530021243,0.006631887767504174,0.685596530021243,0.006631887767504174,0.685596530021243,0.006631887767504174
ours,4.977932042408958e-05,2,0.6814865122992962,0.006259423345493786,0.6717860273839222,0.003441061569880277,0.6766362698416093,0.0014091808878067824
ours,6.167609867748794e-05,2,0.6617818835834353,0.0076861778316831275,0.6582047450417992,0.011263316373319232,0.6599933143126172,0.00947474710250118
ours,7.641609237868178e-05,2,0.6597473192832323,0.022891020863719858,0.6597473192832323,0.022891020863719858,0.6597473192832323,0.022891020863719858
ours,9.4678802642208e-05,2,0.6545212402068864,0.017570599460679293,0.6441134564858984,0.007162815739691297,0.6493173483463924,0.012366707600185323
ours,0.00011730612480602229,2,0.6632450691047788,0.007880054395384195,0.6431967082134868,0.012168306495907777,0.6532208886591327,0.0021441260502618187
ours,0.00014534115908719275,2,0.6296489513031163,0.009392032845087883,0.6272406147058925,0.006983696247864102,0.6284447830045045,0.00818786454647602
ours,0.0001800762966105944,2,0.6173040081570228,0.0012963798494789458,0.6160076283075439,0.0,0.6166558182322833,0.0006481899247394729
ours,0.00022311279753543852,2,0.6242503401832389,0.008242711875695086,0.6242503401832389,0.008242711875695086,0.6242503401832389,0.008242711875695086
ours,0.00027643460778036053,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
ours,0.0003424998172350203,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
ours,0.00042435397560361605,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
ours,0.0005257704896438752,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
ours,0.0006514245739942696,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
ours,0.0008071087745739543,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
ours,0.001,2,0.6160076283075439,0.0,0.6160076283075439,0.0,0.6160076283075439,0.0
