lambda_align,step,n_train,train_acc_mean,train_acc_std,n_val,val_acc_mean,val_acc_std
0.0,30.0,3.0,0.643696554848537,0.008380301525716675,3.0,0.6494082053629243,0.010390224664146724
0.0,60.0,3.0,0.6510739037194524,0.015316825724739547,3.0,0.6474910462923921,0.017860087548306283
0.0,90.0,3.0,0.6750843551053184,0.013280744920775474,3.0,0.6756408129441134,0.00949093075179524
0.0,120.0,3.0,0.6920461043391128,0.006302483614850544,3.0,0.6829371049873415,0.008633207738043675
0.0,150.0,3.0,0.6975940698320837,0.00638267008257903,3.0,0.6817471357339325,0.010937161754182221
1e-05,30.0,3.0,0.6463392436558902,0.007070974113712518,3.0,0.6437679583257236,0.009506826749887107
1e-05,60.0,3.0,0.6595220693483094,0.011784548700743212,3.0,0.6570527107619794,0.005776862099793014
1e-05,90.0,3.0,0.67872880861561,0.019080259874070034,3.0,0.6609476360666785,0.015155063405942738
1e-05,120.0,3.0,0.7013928330250554,0.008874748652830486,3.0,0.6909709263655227,0.009783069401193747
1e-05,150.0,3.0,0.7043186989491467,0.009639844611842899,3.0,0.6853216245914933,0.008707725075666872
3e-05,30.0,3.0,0.6412188319225449,0.0027448434812727554,3.0,0.6396780196665038,0.00905371009720927
3e-05,60.0,3.0,0.6543136423285316,0.019812853874627247,3.0,0.6378104863225815,0.0071415864000889465
3e-05,90.0,3.0,0.6759016620474854,0.015800569506691158,3.0,0.6674055712734326,0.019076800096742064
3e-05,120.0,3.0,0.7018463304167503,0.01158082251435697,3.0,0.6929667926472204,0.008905607167932842
3e-05,150.0,3.0,0.7038543521425161,0.010371413629702805,3.0,0.6775130056222167,0.00743483281027726
0.0001,30.0,3.0,0.6391803718660745,0.0062703185164831015,3.0,0.6469398299974763,0.011220326354287425
0.0001,60.0,3.0,0.667084527605763,0.01515056278245736,3.0,0.6662648610703242,0.012776252785580467
0.0001,90.0,3.0,0.6959667746454247,0.00515194634840758,3.0,0.686789162155304,0.004925955767452684
0.0001,120.0,3.0,0.7057175232800491,0.008862724623581926,3.0,0.69801967608075,0.014744514418869923
0.0001,150.0,3.0,0.7187766618026323,0.010044023196721586,3.0,0.6957038484286748,0.012279868064505277
0.0003,30.0,3.0,0.6438639291852364,0.006806483436786986,3.0,0.6410630022744338,0.010059120874879484
0.0003,60.0,3.0,0.6685237167371557,0.004683213996163189,3.0,0.6688115571757635,0.0040201694520301786
0.0003,90.0,3.0,0.6914391707342347,0.012222034129705904,3.0,0.6723737270289923,0.00945328194381024
0.0003,120.0,3.0,0.7006369183888436,0.0069201794246787456,3.0,0.6907996527098391,0.0070329022032150825
0.0003,150.0,3.0,0.7084906622444215,0.012229747440067634,3.0,0.6923745623345917,0.014989276631106259
0.001,30.0,3.0,0.6484180379704272,0.0032330934525100154,3.0,0.6494222578318648,0.005950263272177143
0.001,60.0,3.0,0.6631616035821492,0.016636631960757223,3.0,0.6610106035323133,0.017228322681098317
0.001,90.0,3.0,0.6935438586304189,0.01728796090283531,3.0,0.6862818169369526,0.018146034367584433
0.001,120.0,3.0,0.7174274046811281,0.010098454515639944,3.0,0.7129408539839585,0.009776981054532782
0.001,150.0,3.0,0.7289091680435144,0.011908580733875166,3.0,0.7088653542648534,0.011244545561580032
0.003,30.0,3.0,0.6453717251647332,0.0050764714965200845,3.0,0.6466479735649796,0.0054257365811449885
0.003,60.0,3.0,0.6615418239429836,0.01199712598320301,3.0,0.6492640761228615,0.01622111855355044
0.003,90.0,3.0,0.6815523392868584,0.012535555027299757,3.0,0.6663385969425312,0.005972221990210831
0.003,120.0,3.0,0.7019404446814592,0.007722070662866461,3.0,0.686145896910198,0.01123690279155605
0.003,150.0,3.0,0.7138855549460438,0.024550459509788528,3.0,0.700747677125376,0.025313166733937752
0.01,30.0,3.0,0.6465685455136875,0.006184676842185863,3.0,0.6429504897849108,0.013804470801464842
0.01,60.0,3.0,0.661755974280324,0.022758326608791145,3.0,0.6551028458613676,0.013607144019106262
0.01,90.0,3.0,0.6829082199543297,0.011227001208343253,3.0,0.6800123571235863,0.006233730197348987
0.01,120.0,3.0,0.6951389994483224,0.016195281100320546,3.0,0.6785997446545363,0.010989849559094166
0.01,150.0,3.0,0.7126657523736668,0.005346687048428883,3.0,0.6879157312838854,0.0042011519294997135
0.03,30.0,3.0,0.6426648825770002,0.00882594066791761,3.0,0.6390684207737373,0.008976134218197113
0.03,60.0,3.0,0.659726692740016,0.011280309844631771,3.0,0.6553788739427477,0.006243911994524846
0.03,90.0,3.0,0.6763211279974879,0.010063157751398145,3.0,0.6723255793189705,0.009144239472060322
0.03,120.0,3.0,0.697147276562129,0.00373210702511658,3.0,0.6872239054644301,0.005298297073664422
0.03,150.0,3.0,0.7160724273199207,0.005694626578801988,3.0,0.6957181827387887,0.0015984140305787943
0.1,30.0,3.0,0.6405174766113396,0.0046899459951514864,3.0,0.6372870931243731,0.009950686677056774
0.1,60.0,3.0,0.6663391484639138,0.009610468318163982,3.0,0.6620733898353436,0.005447140320660991
0.1,90.0,3.0,0.6919831394483239,0.014029948639175387,3.0,0.6778326427338529,0.021749257965240864
0.1,120.0,3.0,0.7109522711937114,0.004576324340400273,3.0,0.6906415859995754,0.013470741553355765
0.1,150.0,3.0,0.7117362217232911,0.015301346010677407,3.0,0.6889793631104358,0.014771014248995577
1.0,30.0,3.0,0.646531242023511,0.00687170393143614,3.0,0.6518114245162336,0.015300148076526118
1.0,60.0,3.0,0.6601972726737121,0.010641475972849587,3.0,0.6614021704703763,0.012090439611162114
1.0,90.0,3.0,0.6796640041656857,0.01663510237314829,3.0,0.6740481115061563,0.014183546190225051
1.0,120.0,3.0,0.6980684478615579,0.0050388624544165945,3.0,0.6880764297685843,0.005264100549727735
1.0,150.0,3.0,0.7029358128380089,0.004767066328234208,3.0,0.6867852719930206,0.01067873439524181
